epoch	train_acc	valid_acc	train_loss	valid_loss
1.0	0.15793919563293457	0.2535885274410248	2.1478912830352783	1.9448332786560059
2.0	0.2791385054588318	0.380382776260376	1.7875351905822754	1.4110132455825806
3.0	0.43412160873413086	0.5956937670707703	1.3639707565307617	1.0027364492416382
4.0	0.5599662065505981	0.679425835609436	1.0958269834518433	0.778954029083252
5.0	0.6161317825317383	0.7488038539886475	0.9319272637367249	0.6091568470001221
6.0	0.6528716087341309	0.779904305934906	0.8422949910163879	0.5615077614784241
7.0	0.6942567825317383	0.7942583560943604	0.7424715757369995	0.5132785439491272
8.0	0.7094594836235046	0.8923444747924805	0.6821666359901428	0.4585268199443817
9.0	0.7470439076423645	0.9114832282066345	0.6231350898742676	0.37624573707580566
10.0	0.7728040814399719	0.8947368264198303	0.5531378388404846	0.3117211163043976
11.0	0.8095439076423645	0.9210526347160339	0.4893825054168701	0.29014351963996887
12.0	0.8196790814399719	0.9210526347160339	0.4798564016819	0.2778986096382141
13.0	0.8420608043670654	0.9258373379707336	0.432532399892807	0.2239108681678772
14.0	0.8517736196517944	0.9282296895980835	0.3866663873195648	0.20934490859508514
15.0	0.8640202879905701	0.9282296895980835	0.3901120722293854	0.2103351354598999
16.0	0.869087815284729	0.9234449863433838	0.34820613265037537	0.21303515136241913
17.0	0.8648648858070374	0.9330143332481384	0.34622296690940857	0.19044221937656403
18.0	0.8872466087341309	0.9234449863433838	0.31308144330978394	0.19356180727481842
19.0	0.896537184715271	0.9258373379707336	0.28389737010002136	0.20389384031295776
20.0	0.9087837934494019	0.9425837397575378	0.27186086773872375	0.1845458298921585
21.0	0.9075168967247009	0.9354066848754883	0.2690897285938263	0.1917247325181961
22.0	0.9087837934494019	0.9377990365028381	0.2690773606300354	0.17846012115478516
23.0	0.9151182174682617	0.9330143332481384	0.24926915764808655	0.18674412369728088
24.0	0.9108952879905701	0.9736841917037964	0.24930989742279053	0.18204399943351746
25.0	0.9362331032752991	0.940191388130188	0.22032207250595093	0.17382308840751648
26.0	0.9353885054588318	0.9545454382896423	0.21214228868484497	0.1581846922636032
27.0	0.9320101141929626	0.9641148447990417	0.23268485069274902	0.17516668140888214
28.0	0.9294763803482056	0.9545454382896423	0.23646534979343414	0.14011210203170776
29.0	0.9408783912658691	0.9760765433311462	0.21409013867378235	0.13664765655994415
30.0	0.9527027010917664	0.9760765433311462	0.16409669816493988	0.1324760913848877
31.0	0.9480574131011963	0.9760765433311462	0.17771677672863007	0.13102658092975616
32.0	0.9484797120094299	0.9736841917037964	0.17525902390480042	0.14363576471805573
33.0	0.9438344836235046	0.9736841917037964	0.18286851048469543	0.14486129581928253
34.0	0.9480574131011963	0.9665071964263916	0.18614262342453003	0.14632706344127655
35.0	0.9560810923576355	0.9760765433311462	0.1592363864183426	0.13054785132408142
36.0	0.9556587934494019	0.9760765433311462	0.16633610427379608	0.13444654643535614
37.0	0.9552364945411682	0.9760765433311462	0.15677054226398468	0.12820787727832794
38.0	0.953125	0.9736841917037964	0.17915579676628113	0.12384617328643799
39.0	0.9565033912658691	0.9712918400764465	0.1477677822113037	0.14900906383991241
