mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.229795503616333,0.013763720602183449,0.08247528076171876,0.0023865297744748958,0.1,ovo,1,scale,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.7437275985663082,0.7648114901256733,0.755834829443447,0.77737881508079,0.7989228007181328,0.7681351067868702,0.01892827487438146,267
0.299425745010376,0.016761403618246774,0.09918446540832519,0.01167423556965335,0.1,ovo,1,scale,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 'scale', 'kernel': 'poly'}",0.7293906810035843,0.755834829443447,0.725314183123878,0.7468581687612208,0.7522441651705566,0.7419284055005374,0.012307176857415336,311
0.33032751083374023,0.0056138080312418065,0.34694652557373046,0.002029997864724376,0.1,ovo,1,scale,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.8584229390681004,0.8348294434470377,0.8258527827648114,0.8581687612208259,0.8707360861759426,0.8496020025353437,0.016613859929255254,247
0.26123580932617185,0.014535400443441692,0.0867617130279541,0.0014554318900040313,0.1,ovo,1,auto,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.7437275985663082,0.7648114901256733,0.755834829443447,0.77737881508079,0.7989228007181328,0.7681351067868702,0.01892827487438146,267
0.6742105484008789,0.012357194355068676,0.11283564567565918,0.002409674827048746,0.1,ovo,1,auto,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 'auto', 'kernel': 'poly'}",0.25448028673835127,0.25493716337522443,0.25673249551166966,0.25493716337522443,0.25493716337522443,0.25520485447513885,0.0007840486103050715,363
0.8905742645263672,0.004581002178944837,0.4541951656341553,0.015342998900316027,0.1,ovo,1,auto,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.3673835125448029,0.3590664272890485,0.3644524236983842,0.37163375224416517,0.37163375224416517,0.3668339736041132,0.004740976666141398,357
0.25066847801208497,0.013255595481113965,0.08453564643859864,0.005174973464074418,0.1,ovo,1,0.001,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.7437275985663082,0.7648114901256733,0.755834829443447,0.77737881508079,0.7989228007181328,0.7681351067868702,0.01892827487438146,267
0.6783796310424804,0.008189609317128997,0.11589908599853516,0.0021569496650875376,0.1,ovo,1,0.001,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.13799283154121864,0.13824057450628366,0.13824057450628366,0.13644524236983843,0.13644524236983843,0.13747289305869256,0.0008439357217427611,377
0.991724967956543,0.020272644755093563,0.457851505279541,0.01908646502032681,0.1,ovo,1,0.001,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.13799283154121864,0.13824057450628366,0.13824057450628366,0.13644524236983843,0.13644524236983843,0.13747289305869256,0.0008439357217427611,377
0.24985160827636718,0.00434714624440194,0.08638572692871094,0.0021329299514984447,0.1,ovo,1,0.01,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",0.7437275985663082,0.7648114901256733,0.755834829443447,0.77737881508079,0.7989228007181328,0.7681351067868702,0.01892827487438146,267
0.6761199474334717,0.012726572595797694,0.11353535652160644,0.0026131296472428856,0.1,ovo,1,0.01,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.13799283154121864,0.13824057450628366,0.13824057450628366,0.13644524236983843,0.13644524236983843,0.13747289305869256,0.0008439357217427611,377
1.0053449153900147,0.014121281510673617,0.5367812633514404,0.01174582330307635,0.1,ovo,1,0.01,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.25448028673835127,0.25314183123877915,0.25673249551166966,0.25493716337522443,0.25493716337522443,0.2548457880478498,0.0011500803423554876,365
0.24077000617980956,0.009442543031799375,0.08298325538635254,0.00450403713755563,0.1,ovo,1,0.1,linear,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.7437275985663082,0.7648114901256733,0.755834829443447,0.77737881508079,0.7989228007181328,0.7681351067868702,0.01892827487438146,267
0.6491919040679932,0.05015695258049926,0.11053590774536133,0.004694746737748518,0.1,ovo,1,0.1,poly,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.5017921146953405,0.5421903052064632,0.547576301615799,0.49730700179533216,0.5134649910233393,0.5204661428672548,0.020692903166099095,347
0.7389094829559326,0.01563142478595537,0.46161785125732424,0.016544111369019957,0.1,ovo,1,0.1,rbf,"{'C': 0.1, 'decision_function_shape': 'ovo', 'degree': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6164874551971327,0.599640933572711,0.5834829443447038,0.6319569120287253,0.6337522441651705,0.6130640978616887,0.019245171773693774,339
